"Year","Cluster","Indicator","Province","Area Council","Unit","Value"
2025,"Education","Tent","Tafea","South Erromango","number",1
2025,"Education","Tent","Tafea","Aniwa","number",1
2025,"Education","Tent","Tafea","North Tanna","number",1
2025,"Education","Tent","Tafea","West Tanna","number",1
2025,"Education","Tent","Tafea","Middle Bush Tanna","number",1
2025,"Education","Tent","Tafea","South West Tanna","number",1
2025,"Education","Tent","Tafea","Whitesands","number",1
2025,"Education","Tent","Tafea","South Tanna","number",1
2025,"Education","Tent","Tafea","Futuna","number",1
2025,"Education","Tent","Tafea","Aneityum","number",1
2025,"Education","School Kit","Torba","Torres","number",2
2025,"Education","School Kit","Torba","Ureparapara","number",2
2025,"Education","School Kit","Torba","Motalava","number",2
2025,"Education","School Kit","Torba","East Vanualava","number",2
2025,"Education","School Kit","Torba","West Vanualava","number",2
2025,"Education","School Kit","Torba","Mota","number",2
2025,"Education","School Kit","Torba","East Gaua","number",2
2025,"Education","School Kit","Torba","West Gaua","number",2
2025,"Education","School Kit","Torba","Merelava","number",2
2025,"Education","School Kit","Sanma","Luganville","number",2
2025,"Education","School Kit","Sanma","North West Santo","number",2
2025,"Education","School Kit","Sanma","Big Bay Coast","number",2
2025,"Education","School Kit","Sanma","Big Bay Inland","number",2
2025,"Education","School Kit","Sanma","West Santo","number",2
2025,"Education","School Kit","Sanma","South Santo 1","number",2
2025,"Education","School Kit","Sanma","South Santo 2","number",2
2025,"Education","School Kit","Sanma","East Santo","number",2
2025,"Education","School Kit","Sanma","South East Santo","number",2
2025,"Education","School Kit","Sanma","Canal Fanafo","number",2
2025,"Education","School Kit","Sanma","West Malo","number",2
2025,"Education","School Kit","Sanma","East Malo","number",2
2025,"Education","School Kit","Penama","West Ambae","number",2
2025,"Education","School Kit","Penama","North Ambae","number",2
2025,"Education","School Kit","Penama","East Ambae","number",2
2025,"Education","School Kit","Penama","South Ambae","number",2
2025,"Education","School Kit","Penama","North Maewo","number",2
2025,"Education","School Kit","Penama","South Maewo","number",2
2025,"Education","School Kit","Penama","North Pentecost","number",2
2025,"Education","School Kit","Penama","Central Pentecost 1","number",2
2025,"Education","School Kit","Penama","Central Pentecost 2","number",2
2025,"Education","School Kit","Penama","South Pentecost","number",2
2025,"Education","School Kit","Malampa","North West Malekula","number",2
2025,"Education","School Kit","Malampa","North East Malekula","number",2
2025,"Education","School Kit","Malampa","Central Malekula","number",2
2025,"Education","School Kit","Malampa","South West Malekula","number",2
2025,"Education","School Kit","Malampa","South East Malekula","number",2
2025,"Education","School Kit","Malampa","South Malekula","number",2
2025,"Education","School Kit","Malampa","North Ambrym","number",2
2025,"Education","School Kit","Malampa","West Ambrym","number",2
2025,"Education","School Kit","Malampa","South East Ambrym","number",2
2025,"Education","School Kit","Malampa","Paama","number",2
2025,"Education","School Kit","Shefa","Port Vila","number",2
2025,"Education","School Kit","Shefa","Vermali","number",2
2025,"Education","School Kit","Shefa","Vermaul","number",2
2025,"Education","School Kit","Shefa","Varisu","number",2
2025,"Education","School Kit","Shefa","South Epi","number",2
2025,"Education","School Kit","Shefa","North Tongoa","number",2
2025,"Education","School Kit","Shefa","Makimae","number",2
2025,"Education","School Kit","Shefa","Tongariki","number",2
2025,"Education","School Kit","Shefa","Nguna","number",2
2025,"Education","School Kit","Shefa","Emau","number",2
2025,"Education","School Kit","Shefa","Malorua","number",2
2025,"Education","School Kit","Shefa","North Efate","number",2
2025,"Education","School Kit","Shefa","Mele","number",2
2025,"Education","School Kit","Shefa","Tanvasoko","number",2
2025,"Education","School Kit","Shefa","Ifira","number",2
2025,"Education","School Kit","Shefa","Pango","number",2
2025,"Education","School Kit","Shefa","Erakor","number",2
2025,"Education","School Kit","Shefa","Eratap","number",2
2025,"Education","School Kit","Shefa","Eton","number",2
2025,"Education","School Kit","Tafea","North Erromango","number",2
2025,"Education","School Kit","Tafea","South Erromango","number",2
2025,"Education","School Kit","Tafea","Aniwa","number",2
2025,"Education","School Kit","Tafea","North Tanna","number",2
2025,"Education","School Kit","Tafea","West Tanna","number",2
2025,"Education","School Kit","Tafea","Middle Bush Tanna","number",2
2025,"Education","School Kit","Tafea","South West Tanna","number",2
2025,"Education","School Kit","Tafea","Whitesands","number",2
2025,"Education","School Kit","Tafea","South Tanna","number",2
2025,"Education","School Kit","Tafea","Futuna","number",2
2025,"Education","School Kit","Tafea","Aneityum","number",2
2025,"Education","Solar Lamp","Torba","Torres","number",10
2025,"Education","Solar Lamp","Torba","Ureparapara","number",10
2025,"Education","Solar Lamp","Torba","Motalava","number",10
2025,"Education","Solar Lamp","Torba","East Vanualava","number",10
2025,"Education","Solar Lamp","Torba","West Vanualava","number",10
2025,"Education","Solar Lamp","Torba","Mota","number",10
2025,"Education","Solar Lamp","Torba","East Gaua","number",10
2025,"Education","Solar Lamp","Torba","West Gaua","number",10
2025,"Education","Solar Lamp","Torba","Merelava","number",10
2025,"Education","Solar Lamp","Sanma","Luganville","number",10
2025,"Education","Solar Lamp","Sanma","North West Santo","number",10
2025,"Education","Solar Lamp","Sanma","Big Bay Coast","number",10
2025,"Education","Solar Lamp","Sanma","Big Bay Inland","number",10
2025,"Education","Solar Lamp","Sanma","West Santo","number",10
2025,"Education","Solar Lamp","Sanma","South Santo 1","number",10
2025,"Education","Solar Lamp","Sanma","South Santo 2","number",10
2025,"Education","Solar Lamp","Sanma","East Santo","number",10
2025,"Education","Solar Lamp","Sanma","South East Santo","number",10
2025,"Education","Solar Lamp","Sanma","Canal Fanafo","number",10
2025,"Education","Solar Lamp","Sanma","West Malo","number",10
2025,"Education","Solar Lamp","Sanma","East Malo","number",10
2025,"Education","Solar Lamp","Penama","West Ambae","number",10
2025,"Education","Solar Lamp","Penama","North Ambae","number",10
2025,"Education","Solar Lamp","Penama","East Ambae","number",10
2025,"Education","Solar Lamp","Penama","South Ambae","number",10
2025,"Education","Solar Lamp","Penama","North Maewo","number",10
2025,"Education","Solar Lamp","Penama","South Maewo","number",10
2025,"Education","Solar Lamp","Penama","North Pentecost","number",10
2025,"Education","Solar Lamp","Penama","Central Pentecost 1","number",10
2025,"Education","Solar Lamp","Penama","Central Pentecost 2","number",10
2025,"Education","Solar Lamp","Penama","South Pentecost","number",10
2025,"Education","Solar Lamp","Malampa","North West Malekula","number",10
2025,"Education","Solar Lamp","Malampa","North East Malekula","number",10
2025,"Education","Solar Lamp","Malampa","Central Malekula","number",10
2025,"Education","Solar Lamp","Malampa","South West Malekula","number",10
2025,"Education","Solar Lamp","Malampa","South East Malekula","number",10
2025,"Education","Solar Lamp","Malampa","South Malekula","number",10
2025,"Education","Solar Lamp","Malampa","North Ambrym","number",10
2025,"Education","Solar Lamp","Malampa","West Ambrym","number",10
2025,"Education","Solar Lamp","Malampa","South East Ambrym","number",10
2025,"Education","Solar Lamp","Malampa","Paama","number",10
2025,"Education","Solar Lamp","Shefa","Port Vila","number",10
2025,"Education","Solar Lamp","Shefa","Vermali","number",10
2025,"Education","Solar Lamp","Shefa","Vermaul","number",10
2025,"Education","Solar Lamp","Shefa","Varisu","number",10
2025,"Education","Solar Lamp","Shefa","South Epi","number",10
2025,"Education","Solar Lamp","Shefa","North Tongoa","number",10
2025,"Education","Solar Lamp","Shefa","Makimae","number",10
2025,"Education","Solar Lamp","Shefa","Tongariki","number",10
2025,"Education","Solar Lamp","Shefa","Nguna","number",10
2025,"Education","Solar Lamp","Shefa","Emau","number",10
2025,"Education","Solar Lamp","Shefa","Malorua","number",10
2025,"Education","Solar Lamp","Shefa","North Efate","number",10
2025,"Education","Solar Lamp","Shefa","Mele","number",10
2025,"Education","Solar Lamp","Shefa","Tanvasoko","number",10
2025,"Education","Solar Lamp","Shefa","Ifira","number",10
2025,"Education","Solar Lamp","Shefa","Pango","number",10
2025,"Education","Solar Lamp","Shefa","Erakor","number",10
2025,"Education","Solar Lamp","Shefa","Eratap","number",10
2025,"Education","Solar Lamp","Shefa","Eton","number",10
2025,"Education","Solar Lamp","Tafea","North Erromango","number",10
2025,"Education","Solar Lamp","Tafea","South Erromango","number",10
2025,"Education","Solar Lamp","Tafea","Aniwa","number",10
2025,"Education","Solar Lamp","Tafea","North Tanna","number",10
2025,"Education","Solar Lamp","Tafea","West Tanna","number",10
2025,"Education","Solar Lamp","Tafea","Middle Bush Tanna","number",10
2025,"Education","Solar Lamp","Tafea","South West Tanna","number",10
2025,"Education","Solar Lamp","Tafea","Whitesands","number",10
2025,"Education","Solar Lamp","Tafea","South Tanna","number",10
2025,"Education","Solar Lamp","Tafea","Futuna","number",10
2025,"Education","Solar Lamp","Tafea","Aneityum","number",10
2025,"Education","Water","Torba","Torres","litre",0.5
2025,"Education","Water","Torba","Ureparapara","litre",0.5
2025,"Education","Water","Torba","Motalava","litre",0.5
2025,"Education","Water","Torba","East Vanualava","litre",0.5
2025,"Education","Water","Torba","West Vanualava","litre",0.5
2025,"Education","Water","Torba","Mota","litre",0.5
2025,"Education","Water","Torba","East Gaua","litre",0.5
2025,"Education","Water","Torba","West Gaua","litre",0.5
2025,"Education","Water","Torba","Merelava","litre",0.5
2025,"Education","Water","Sanma","Luganville","litre",0.5
2025,"Education","Water","Sanma","North West Santo","litre",0.5
2025,"Education","Water","Sanma","Big Bay Coast","litre",0.5
2025,"Education","Water","Sanma","Big Bay Inland","litre",0.5
2025,"Education","Water","Sanma","West Santo","litre",0.5
2025,"Education","Water","Sanma","South Santo 1","litre",0.5
2025,"Education","Water","Sanma","South Santo 2","litre",0.5
2025,"Education","Water","Sanma","East Santo","litre",0.5
2025,"Education","Water","Sanma","South East Santo","litre",0.5
2025,"Education","Water","Sanma","Canal Fanafo","litre",0.5
2025,"Education","Water","Sanma","West Malo","litre",0.5
2025,"Education","Water","Sanma","East Malo","litre",0.5
2025,"Education","Water","Penama","West Ambae","litre",0.5
2025,"Education","Water","Penama","North Ambae","litre",0.5
2025,"Education","Water","Penama","East Ambae","litre",0.5
2025,"Education","Water","Penama","South Ambae","litre",0.5
2025,"Education","Water","Penama","North Maewo","litre",0.5
2025,"Education","Water","Penama","South Maewo","litre",0.5
2025,"Education","Water","Penama","North Pentecost","litre",0.5
2025,"Education","Water","Penama","Central Pentecost 1","litre",0.5
2025,"Education","Water","Penama","Central Pentecost 2","litre",0.5
2025,"Education","Water","Penama","South Pentecost","litre",0.5
2025,"Education","Water","Malampa","North West Malekula","litre",0.5
2025,"Education","Water","Malampa","North East Malekula","litre",0.5
2025,"Education","Water","Malampa","Central Malekula","litre",0.5
2025,"Education","Water","Malampa","South West Malekula","litre",0.5
2025,"Education","Water","Malampa","South East Malekula","litre",0.5
2025,"Education","Water","Malampa","South Malekula","litre",0.5
2025,"Education","Water","Malampa","North Ambrym","litre",0.5
2025,"Education","Water","Malampa","West Ambrym","litre",0.5
2025,"Education","Water","Malampa","South East Ambrym","litre",0.5
2025,"Education","Water","Malampa","Paama","litre",0.5
2025,"Education","Water","Shefa","Port Vila","litre",0.5
2025,"Education","Water","Shefa","Vermali","litre",0.5
2025,"Education","Water","Shefa","Vermaul","litre",0.5
2025,"Education","Water","Shefa","Varisu","litre",0.5
2025,"Education","Water","Shefa","South Epi","litre",0.5
2025,"Education","Water","Shefa","North Tongoa","litre",0.5
2025,"Education","Water","Shefa","Makimae","litre",0.5
2025,"Education","Water","Shefa","Tongariki","litre",0.5
2025,"Education","Water","Shefa","Nguna","litre",0.5
2025,"Education","Water","Shefa","Emau","litre",0.5
2025,"Education","Water","Shefa","Malorua","litre",0.5
2025,"Education","Water","Shefa","North Efate","litre",0.5
2025,"Education","Water","Shefa","Mele","litre",0.5
2025,"Education","Water","Shefa","Tanvasoko","litre",0.5
2025,"Education","Water","Shefa","Ifira","litre",0.5
2025,"Education","Water","Shefa","Pango","litre",0.5
2025,"Education","Water","Shefa","Erakor","litre",0.5
2025,"Education","Water","Shefa","Eratap","litre",0.5
2025,"Education","Water","Shefa","Eton","litre",0.5
2025,"Education","Water","Tafea","North Erromango","litre",0.5
2025,"Education","Water","Tafea","South Erromango","litre",0.5
2025,"Education","Water","Tafea","Aniwa","litre",0.5
2025,"Education","Water","Tafea","North Tanna","litre",0.5
2025,"Education","Water","Tafea","West Tanna","litre",0.5
2025,"Education","Water","Tafea","Middle Bush Tanna","litre",0.5
2025,"Education","Water","Tafea","South West Tanna","litre",0.5
2025,"Education","Water","Tafea","Whitesands","litre",0.5
2025,"Education","Water","Tafea","South Tanna","litre",0.5
2025,"Education","Water","Tafea","Futuna","litre",0.5
2025,"Education","Water","Tafea","Aneityum","litre",0.5
2025,"Education","Tin Fish","Torba","Torres","kilogram",0.4
2025,"Education","Tin Fish","Torba","Ureparapara","kilogram",0.4
2025,"Education","Tin Fish","Torba","Motalava","kilogram",0.4
2025,"Education","Tin Fish","Torba","East Vanualava","kilogram",0.4
2025,"Education","Tin Fish","Torba","West Vanualava","kilogram",0.4
2025,"Education","Tin Fish","Torba","Mota","kilogram",0.4
2025,"Education","Tin Fish","Torba","East Gaua","kilogram",0.4
2025,"Education","Tin Fish","Torba","West Gaua","kilogram",0.4
2025,"Education","Tin Fish","Torba","Merelava","kilogram",0.4
2025,"Education","Tin Fish","Sanma","Luganville","kilogram",0.4
2025,"Education","Tin Fish","Sanma","North West Santo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","Big Bay Coast","kilogram",0.4
2025,"Education","Tin Fish","Sanma","Big Bay Inland","kilogram",0.4
2025,"Education","Tin Fish","Sanma","West Santo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","South Santo 1","kilogram",0.4
2025,"Education","Tin Fish","Sanma","South Santo 2","kilogram",0.4
2025,"Education","Tin Fish","Sanma","East Santo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","South East Santo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","Canal Fanafo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","West Malo","kilogram",0.4
2025,"Education","Tin Fish","Sanma","East Malo","kilogram",0.4
2025,"Education","Tin Fish","Penama","West Ambae","kilogram",0.4
2025,"Education","Tin Fish","Penama","North Ambae","kilogram",0.4
2025,"Education","Tin Fish","Penama","East Ambae","kilogram",0.4
2025,"Education","Tin Fish","Penama","South Ambae","kilogram",0.4
2025,"Education","Tin Fish","Penama","North Maewo","kilogram",0.4
2025,"Education","Tin Fish","Penama","South Maewo","kilogram",0.4
2025,"Education","Tin Fish","Penama","North Pentecost","kilogram",0.4
2025,"Education","Tin Fish","Penama","Central Pentecost 1","kilogram",0.4
2025,"Education","Tin Fish","Penama","Central Pentecost 2","kilogram",0.4
2025,"Education","Tin Fish","Penama","South Pentecost","kilogram",0.4
2025,"Education","Tin Fish","Malampa","North West Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","North East Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","Central Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","South West Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","South East Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","South Malekula","kilogram",0.4
2025,"Education","Tin Fish","Malampa","North Ambrym","kilogram",0.4
2025,"Education","Tin Fish","Malampa","West Ambrym","kilogram",0.4
2025,"Education","Tin Fish","Malampa","South East Ambrym","kilogram",0.4
2025,"Education","Tin Fish","Malampa","Paama","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Port Vila","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Vermali","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Vermaul","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Varisu","kilogram",0.4
2025,"Education","Tin Fish","Shefa","South Epi","kilogram",0.4
2025,"Education","Tin Fish","Shefa","North Tongoa","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Makimae","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Tongariki","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Nguna","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Emau","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Malorua","kilogram",0.4
2025,"Education","Tin Fish","Shefa","North Efate","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Mele","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Tanvasoko","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Ifira","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Pango","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Erakor","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Eratap","kilogram",0.4
2025,"Education","Tin Fish","Shefa","Eton","kilogram",0.4
2025,"Education","Tin Fish","Tafea","North Erromango","kilogram",0.4
2025,"Education","Tin Fish","Tafea","South Erromango","kilogram",0.4
2025,"Education","Tin Fish","Tafea","Aniwa","kilogram",0.4
2025,"Education","Tin Fish","Tafea","North Tanna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","West Tanna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","Middle Bush Tanna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","South West Tanna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","Whitesands","kilogram",0.4
2025,"Education","Tin Fish","Tafea","South Tanna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","Futuna","kilogram",0.4
2025,"Education","Tin Fish","Tafea","Aneityum","kilogram",0.4
2025,"Energy","Solar Lamp","Torba","Torres","number",1
2025,"Energy","Solar Lamp","Torba","Ureparapara","number",1
2025,"Energy","Solar Lamp","Torba","Motalava","number",1
2025,"Energy","Solar Lamp","Torba","East Vanualava","number",1
2025,"Energy","Solar Lamp","Torba","West Vanualava","number",1
2025,"Energy","Solar Lamp","Torba","Mota","number",1
2025,"Energy","Solar Lamp","Torba","East Gaua","number",1
2025,"Energy","Solar Lamp","Torba","West Gaua","number",1
2025,"Energy","Solar Lamp","Torba","Merelava","number",1
2025,"Energy","Solar Lamp","Sanma","Luganville","number",1
2025,"Energy","Solar Lamp","Sanma","North West Santo","number",1
2025,"Energy","Solar Lamp","Sanma","Big Bay Coast","number",1
2025,"Energy","Solar Lamp","Sanma","Big Bay Inland","number",1
2025,"Energy","Solar Lamp","Sanma","West Santo","number",1
2025,"Energy","Solar Lamp","Sanma","South Santo 1","number",1
2025,"Energy","Solar Lamp","Sanma","South Santo 2","number",1
2025,"Energy","Solar Lamp","Sanma","East Santo","number",1
2025,"Energy","Solar Lamp","Sanma","South East Santo","number",1
2025,"Energy","Solar Lamp","Sanma","Canal Fanafo","number",1
2025,"Energy","Solar Lamp","Sanma","West Malo","number",1
2025,"Energy","Solar Lamp","Sanma","East Malo","number",1
2025,"Energy","Solar Lamp","Penama","West Ambae","number",1
2025,"Energy","Solar Lamp","Penama","North Ambae","number",1
2025,"Energy","Solar Lamp","Penama","East Ambae","number",1
2025,"Energy","Solar Lamp","Penama","South Ambae","number",1
2025,"Energy","Solar Lamp","Penama","North Maewo","number",1
2025,"Energy","Solar Lamp","Penama","South Maewo","number",1
2025,"Energy","Solar Lamp","Penama","North Pentecost","number",1
2025,"Energy","Solar Lamp","Penama","Central Pentecost 1","number",1
2025,"Energy","Solar Lamp","Penama","Central Pentecost 2","number",1
2025,"Energy","Solar Lamp","Penama","South Pentecost","number",1
2025,"Energy","Solar Lamp","Malampa","North West Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","North East Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","Central Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","South West Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","South East Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","South Malekula","number",1
2025,"Energy","Solar Lamp","Malampa","North Ambrym","number",1
2025,"Energy","Solar Lamp","Malampa","West Ambrym","number",1
2025,"Energy","Solar Lamp","Malampa","South East Ambrym","number",1
2025,"Energy","Solar Lamp","Malampa","Paama","number",1
2025,"Energy","Solar Lamp","Shefa","Port Vila","number",1
2025,"Energy","Solar Lamp","Shefa","Vermali","number",1
2025,"Energy","Solar Lamp","Shefa","Vermaul","number",1
2025,"Energy","Solar Lamp","Shefa","Varisu","number",1
2025,"Energy","Solar Lamp","Shefa","South Epi","number",1
2025,"Energy","Solar Lamp","Shefa","North Tongoa","number",1
2025,"Energy","Solar Lamp","Shefa","Makimae","number",1
2025,"Energy","Solar Lamp","Shefa","Tongariki","number",1
2025,"Energy","Solar Lamp","Shefa","Nguna","number",1
2025,"Energy","Solar Lamp","Shefa","Emau","number",1
2025,"Energy","Solar Lamp","Shefa","Malorua","number",1
2025,"Energy","Solar Lamp","Shefa","North Efate","number",1
2025,"Energy","Solar Lamp","Shefa","Mele","number",1
2025,"Energy","Solar Lamp","Shefa","Tanvasoko","number",1
2025,"Energy","Solar Lamp","Shefa","Ifira","number",1
2025,"Energy","Solar Lamp","Shefa","Pango","number",1
2025,"Energy","Solar Lamp","Shefa","Erakor","number",1
2025,"Energy","Solar Lamp","Shefa","Eratap","number",1
2025,"Energy","Solar Lamp","Shefa","Eton","number",1
2025,"Energy","Solar Lamp","Tafea","North Erromango","number",1
2025,"Energy","Solar Lamp","Tafea","South Erromango","number",1
2025,"Energy","Solar Lamp","Tafea","Aniwa","number",1
2025,"Energy","Solar Lamp","Tafea","North Tanna","number",1
2025,"Energy","Solar Lamp","Tafea","West Tanna","number",1
2025,"Energy","Solar Lamp","Tafea","Middle Bush Tanna","number",1
2025,"Energy","Solar Lamp","Tafea","South West Tanna","number",1
2025,"Energy","Solar Lamp","Tafea","Whitesands","number",1
2025,"Energy","Solar Lamp","Tafea","South Tanna","number",1
2025,"Energy","Solar Lamp","Tafea","Futuna","number",1
2025,"Energy","Solar Lamp","Tafea","Aneityum","number",1
2025,"Energy","Low Voltage Poles Support","Torba","Torres","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","Ureparapara","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","Motalava","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","East Vanualava","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","West Vanualava","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","Mota","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","East Gaua","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","West Gaua","number",0.2
2025,"Energy","Low Voltage Poles Support","Torba","Merelava","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","Luganville","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","North West Santo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","Big Bay Coast","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","Big Bay Inland","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","West Santo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","South Santo 1","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","South Santo 2","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","East Santo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","South East Santo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","Canal Fanafo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","West Malo","number",0.2
2025,"Energy","Low Voltage Poles Support","Sanma","East Malo","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","West Ambae","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","North Ambae","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","East Ambae","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","South Ambae","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","North Maewo","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","South Maewo","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","North Pentecost","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","Central Pentecost 1","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","Central Pentecost 2","number",0.2
2025,"Energy","Low Voltage Poles Support","Penama","South Pentecost","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","North West Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","North East Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","Central Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","South West Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","South East Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","South Malekula","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","North Ambrym","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","West Ambrym","number",0.2
2025,"Energy","Low Voltage Poles Support","Malampa","South East Ambrym","number",0.2
